Date	UP-TD	UP-TR	UP-TC	UP-D	UP-R	UP-C
1/21/2020	0	0	0	0	0	0
1/22/2020	0	0	0	0	0	0
1/23/2020	0	0	0	0	0	0
1/24/2020	0	0	0	0	0	0
1/25/2020	0	0	0	0	0	0
1/26/2020	0	0	0	0	0	0
1/27/2020	0	0	0	0	0	0
1/28/2020	0	0	0	0	0	0
1/29/2020	0	0	0	0	0	0
1/30/2020	0	0	0	0	0	0
1/31/2020	0	0	0	0	0	0
2/1/2020	0	0	0	0	0	0
2/2/2020	0	0	0	0	0	0
2/3/2020	0	0	0	0	0	0
2/4/2020	0	0	0	0	0	0
2/5/2020	0	0	0	0	0	0
2/6/2020	0	0	0	0	0	0
2/7/2020	0	0	0	0	0	0
2/8/2020	0	0	0	0	0	0
2/9/2020	0	0	0	0	0	0
2/10/2020	0	0	0	0	0	0
2/11/2020	0	0	0	0	0	0
2/12/2020	0	0	0	0	0	0
2/13/2020	0	0	0	0	0	0
2/14/2020	0	0	0	0	0	0
2/15/2020	0	0	0	0	0	0
2/16/2020	0	0	0	0	0	0
2/17/2020	0	0	0	0	0	0
2/18/2020	0	0	0	0	0	0
2/19/2020	0	0	0	0	0	0
2/20/2020	0	0	0	0	0	0
2/21/2020	0	0	0	0	0	0
2/22/2020	0	0	0	0	0	0
2/23/2020	0	0	0	0	0	0
2/24/2020	0	0	0	0	0	0
2/25/2020	0	0	0	0	0	0
2/26/2020	0	0	0	0	0	0
2/27/2020	0	0	0	0	0	0
2/28/2020	0	0	0	0	0	0
2/29/2020	0	0	0	0	0	0
3/1/2020	0	0	0	0	0	0
3/2/2020	0	0	0	0	0	0
3/3/2020	0	0	0	0	0	0
3/4/2020	0	0	6	0	0	6
3/5/2020	0	0	7	0	0	1
3/6/2020	0	0	7	0	0	0
3/7/2020	0	0	7	0	0	0
3/8/2020	0	0	7	0	0	0
3/9/2020	0	1	8	0	1	1
3/10/2020	0	1	8	0	0	0
3/11/2020	0	1	8	0	0	0
3/12/2020	0	3	10	0	2	2
3/13/2020	0	4	11	0	1	1
3/14/2020	0	4	12	0	0	1
3/15/2020	0	4	13	0	0	1
3/16/2020	0	4	13	0	0	0
3/17/2020	0	5	15	0	1	2
3/18/2020	0	5	17	0	0	2
3/19/2020	0	9	20	0	4	3
3/20/2020	0	9	24	0	0	4
3/21/2020	0	9	28	0	0	4
3/22/2020	0	9	30	0	0	2
3/23/2020	0	9	32	0	0	2
3/24/2020	0	11	35	0	2	3
3/25/2020	0	11	38	0	0	3
3/26/2020	0	11	42	0	0	4
3/27/2020	0	11	49	0	0	7
